
Randaugment!
Number of final features: 405
Number of model parameters: 1018900
Epoch: [2][60/449]	Time 0.212 (0.210)	Loss 1.8089 (1.7552)	Prec@1 26.562 (28.516)	
Epoch: [2][70/449]	Time 0.206 (0.210)	Loss 1.7646 (1.7549)	Prec@1 26.562 (28.259)	
Epoch: [2][80/449]	Time 0.205 (0.210)	Loss 1.7272 (1.7531)	Prec@1 18.750 (28.145)	
Epoch: [2][90/449]	Time 0.209 (0.210)	Loss 1.8048 (1.7545)	Prec@1 28.125 (28.385)	
Epoch: [2][100/449]	Time 0.146 (0.209)	Loss 1.7354 (1.7548)	Prec@1 35.938 (28.484)	
Epoch: [2][110/449]	Time 0.145 (0.203)	Loss 1.8249 (1.7576)	Prec@1 28.125 (28.580)	
Epoch: [2][120/449]	Time 0.141 (0.199)	Loss 1.7313 (1.7571)	Prec@1 28.125 (28.620)	
Epoch: [2][130/449]	Time 0.149 (0.194)	Loss 1.6430 (1.7569)	Prec@1 31.250 (28.438)	
Epoch: [2][140/449]	Time 0.160 (0.191)	Loss 1.7166 (1.7565)	Prec@1 28.125 (28.471)	
Epoch: [2][150/449]	Time 0.144 (0.189)	Loss 1.7802 (1.7547)	Prec@1 28.125 (28.594)	
Epoch: [2][160/449]	Time 0.201 (0.190)	Loss 1.8449 (1.7523)	Prec@1 29.688 (28.760)	
Epoch: [2][170/449]	Time 0.210 (0.190)	Loss 1.6711 (1.7538)	Prec@1 26.562 (28.511)	
Epoch: [2][180/449]	Time 0.206 (0.191)	Loss 1.6673 (1.7522)	Prec@1 42.188 (28.663)	
Epoch: [2][190/449]	Time 0.208 (0.192)	Loss 1.7715 (1.7516)	Prec@1 25.000 (28.775)	
Epoch: [2][200/449]	Time 0.209 (0.193)	Loss 1.6410 (1.7510)	Prec@1 28.125 (28.742)	
Epoch: [2][210/449]	Time 0.207 (0.193)	Loss 1.8357 (1.7517)	Prec@1 26.562 (28.780)	
Epoch: [2][220/449]	Time 0.208 (0.194)	Loss 1.7482 (1.7521)	Prec@1 32.812 (28.736)	
Epoch: [2][230/449]	Time 0.143 (0.192)	Loss 1.6741 (1.7514)	Prec@1 32.812 (28.757)	
