
Randaugment!
Number of final features: 573
Number of model parameters: 1854556
Epoch: [2][410/449]	Time 0.351 (0.349)	Loss 1.7456 (1.7443)	Prec@1 32.812 (28.811)	
Epoch: [2][420/449]	Time 0.343 (0.349)	Loss 1.6979 (1.7436)	Prec@1 32.812 (28.854)	
Epoch: [2][430/449]	Time 0.342 (0.349)	Loss 1.7004 (1.7435)	Prec@1 31.250 (28.870)	
Epoch: [2][440/449]	Time 0.352 (0.348)	Loss 1.7953 (1.7434)	Prec@1 21.875 (28.903)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [2][113/113]	Time 0.029 (0.102)	Loss 1.8486 (1.9037)	Prec@1 20.000 (27.278)	
Best accuracy:  27.2777932571747
Epoch: [3][10/449]	Time 0.355 (0.360)	Loss 1.8525 (1.7374)	Prec@1 21.875 (28.906)	
Epoch: [3][20/449]	Time 0.352 (0.356)	Loss 1.7812 (1.7389)	Prec@1 28.125 (29.453)	
Epoch: [3][30/449]	Time 0.352 (0.354)	Loss 1.6994 (1.7290)	Prec@1 34.375 (30.052)	
Epoch: [3][40/449]	Time 0.354 (0.354)	Loss 1.6374 (1.7206)	Prec@1 26.562 (29.883)	
Epoch: [3][50/449]	Time 0.351 (0.353)	Loss 1.9727 (1.7327)	Prec@1 12.500 (29.406)	
Epoch: [3][60/449]	Time 0.347 (0.353)	Loss 1.5992 (1.7261)	Prec@1 37.500 (29.740)	
Epoch: [3][70/449]	Time 0.351 (0.353)	Loss 1.7031 (1.7272)	Prec@1 20.312 (29.621)	
Epoch: [3][80/449]	Time 0.350 (0.353)	Loss 1.6356 (1.7265)	Prec@1 40.625 (29.336)	
Epoch: [3][90/449]	Time 0.352 (0.353)	Loss 1.6650 (1.7280)	Prec@1 35.938 (29.306)	
Epoch: [3][100/449]	Time 0.352 (0.353)	Loss 1.7390 (1.7300)	Prec@1 29.688 (29.375)	
Epoch: [3][110/449]	Time 0.355 (0.352)	Loss 1.6655 (1.7263)	Prec@1 35.938 (30.000)	
Epoch: [3][120/449]	Time 0.345 (0.352)	Loss 1.7318 (1.7252)	Prec@1 35.938 (30.169)	
Epoch: [3][130/449]	Time 0.348 (0.352)	Loss 1.6671 (1.7228)	Prec@1 29.688 (30.276)	
Epoch: [3][140/449]	Time 0.346 (0.352)	Loss 1.7269 (1.7231)	Prec@1 35.938 (29.978)	
Epoch: [3][150/449]	Time 0.349 (0.352)	Loss 1.6632 (1.7220)	Prec@1 28.125 (29.979)	
Epoch: [3][160/449]	Time 0.353 (0.352)	Loss 1.7662 (1.7217)	Prec@1 29.688 (29.912)	
Epoch: [3][170/449]	Time 0.352 (0.352)	Loss 1.6809 (1.7204)	Prec@1 29.688 (30.083)	
Epoch: [3][180/449]	Time 0.349 (0.352)	Loss 1.7028 (1.7196)	Prec@1 34.375 (30.113)	
Epoch: [3][190/449]	Time 0.353 (0.352)	Loss 1.6562 (1.7186)	Prec@1 31.250 (30.132)	
Epoch: [3][200/449]	Time 0.351 (0.352)	Loss 1.6572 (1.7192)	Prec@1 28.125 (30.125)	
Epoch: [3][210/449]	Time 0.355 (0.352)	Loss 1.6485 (1.7188)	Prec@1 39.062 (30.298)	
Epoch: [3][220/449]	Time 0.343 (0.351)	Loss 1.6746 (1.7194)	Prec@1 34.375 (30.263)	
Epoch: [3][230/449]	Time 0.339 (0.351)	Loss 1.7409 (1.7184)	Prec@1 28.125 (30.394)	
Epoch: [3][240/449]	Time 0.244 (0.350)	Loss 1.8352 (1.7199)	Prec@1 20.312 (30.332)	
Epoch: [3][250/449]	Time 0.353 (0.350)	Loss 1.6880 (1.7214)	Prec@1 37.500 (30.250)	
Epoch: [3][260/449]	Time 0.349 (0.350)	Loss 1.6268 (1.7204)	Prec@1 37.500 (30.379)	
Epoch: [3][270/449]	Time 0.351 (0.350)	Loss 1.7999 (1.7202)	Prec@1 23.438 (30.330)	
Epoch: [3][280/449]	Time 0.354 (0.350)	Loss 1.7419 (1.7188)	Prec@1 26.562 (30.441)	
Epoch: [3][290/449]	Time 0.349 (0.350)	Loss 1.8468 (1.7180)	Prec@1 25.000 (30.442)	
Epoch: [3][300/449]	Time 0.350 (0.350)	Loss 1.7388 (1.7178)	Prec@1 26.562 (30.464)	
Epoch: [3][310/449]	Time 0.361 (0.350)	Loss 1.7404 (1.7174)	Prec@1 28.125 (30.504)	
Epoch: [3][320/449]	Time 0.353 (0.350)	Loss 1.5708 (1.7169)	Prec@1 40.625 (30.503)	
Epoch: [3][330/449]	Time 0.345 (0.350)	Loss 1.7413 (1.7168)	Prec@1 25.000 (30.497)	
Epoch: [3][340/449]	Time 0.352 (0.350)	Loss 1.6674 (1.7166)	Prec@1 32.812 (30.492)	
Epoch: [3][350/449]	Time 0.353 (0.350)	Loss 1.6693 (1.7162)	Prec@1 29.688 (30.504)	
Epoch: [3][360/449]	Time 0.349 (0.350)	Loss 1.6780 (1.7159)	Prec@1 32.812 (30.495)	
Epoch: [3][370/449]	Time 0.349 (0.350)	Loss 1.7239 (1.7170)	Prec@1 28.125 (30.384)	
Epoch: [3][380/449]	Time 0.352 (0.350)	Loss 1.6334 (1.7177)	Prec@1 29.688 (30.333)	
Epoch: [3][390/449]	Time 0.349 (0.350)	Loss 1.5811 (1.7169)	Prec@1 42.188 (30.308)	
Epoch: [3][400/449]	Time 0.352 (0.350)	Loss 1.6893 (1.7154)	Prec@1 31.250 (30.398)	
Epoch: [3][410/449]	Time 0.353 (0.350)	Loss 1.7110 (1.7153)	Prec@1 35.938 (30.423)	
Epoch: [3][420/449]	Time 0.306 (0.350)	Loss 1.6794 (1.7139)	Prec@1 32.812 (30.417)	
Epoch: [3][430/449]	Time 0.349 (0.350)	Loss 1.7503 (1.7132)	Prec@1 29.688 (30.436)	
Epoch: [3][440/449]	Time 0.348 (0.350)	Loss 1.6552 (1.7127)	Prec@1 37.500 (30.508)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [3][113/113]	Time 0.029 (0.098)	Loss 2.0521 (2.0769)	Prec@1 40.000 (27.765)	
Best accuracy:  27.76539426023962
Epoch: [4][10/449]	Time 0.353 (0.361)	Loss 1.6966 (1.7102)	Prec@1 31.250 (32.188)	
Epoch: [4][20/449]	Time 0.353 (0.356)	Loss 1.5098 (1.6899)	Prec@1 48.438 (32.500)	
Epoch: [4][30/449]	Time 0.337 (0.349)	Loss 1.7478 (1.6979)	Prec@1 31.250 (31.562)	
Epoch: [4][40/449]	Time 0.341 (0.347)	Loss 1.6392 (1.6893)	Prec@1 39.062 (32.734)	
Epoch: [4][50/449]	Time 0.352 (0.344)	Loss 1.6216 (1.6847)	Prec@1 31.250 (32.625)	
Epoch: [4][60/449]	Time 0.352 (0.345)	Loss 1.6236 (1.6896)	Prec@1 34.375 (32.214)	
Epoch: [4][70/449]	Time 0.353 (0.346)	Loss 1.7885 (1.6922)	Prec@1 25.000 (31.897)	
Epoch: [4][80/449]	Time 0.354 (0.347)	Loss 1.6301 (1.6948)	Prec@1 32.812 (31.602)	
Epoch: [4][90/449]	Time 0.353 (0.347)	Loss 1.6588 (1.6946)	Prec@1 31.250 (31.840)	
Epoch: [4][100/449]	Time 0.353 (0.348)	Loss 1.7076 (1.6963)	Prec@1 31.250 (31.703)	
Epoch: [4][110/449]	Time 0.357 (0.348)	Loss 1.6630 (1.6976)	Prec@1 28.125 (31.733)	
Epoch: [4][120/449]	Time 0.350 (0.348)	Loss 1.5454 (1.6972)	Prec@1 45.312 (31.797)	
Epoch: [4][130/449]	Time 0.344 (0.348)	Loss 1.6876 (1.6974)	Prec@1 39.062 (31.755)	
Epoch: [4][140/449]	Time 0.351 (0.349)	Loss 1.6453 (1.6960)	Prec@1 28.125 (31.741)	
Epoch: [4][150/449]	Time 0.351 (0.349)	Loss 1.7462 (1.6938)	Prec@1 32.812 (31.729)	
Epoch: [4][160/449]	Time 0.350 (0.349)	Loss 1.7808 (1.6915)	Prec@1 26.562 (31.865)	
Epoch: [4][170/449]	Time 0.350 (0.349)	Loss 1.7217 (1.6936)	Prec@1 28.125 (31.765)	
Epoch: [4][180/449]	Time 0.355 (0.349)	Loss 1.5169 (1.6926)	Prec@1 42.188 (31.823)	
Epoch: [4][190/449]	Time 0.352 (0.349)	Loss 1.6508 (1.6923)	Prec@1 32.812 (31.702)	
Epoch: [4][200/449]	Time 0.356 (0.349)	Loss 1.7869 (1.6920)	Prec@1 23.438 (31.617)	
Epoch: [4][210/449]	Time 0.350 (0.349)	Loss 1.6177 (1.6910)	Prec@1 31.250 (31.518)	
Epoch: [4][220/449]	Time 0.354 (0.350)	Loss 1.5524 (1.6885)	Prec@1 37.500 (31.712)	
Epoch: [4][230/449]	Time 0.349 (0.350)	Loss 1.7753 (1.6888)	Prec@1 23.438 (31.671)	
Epoch: [4][240/449]	Time 0.352 (0.350)	Loss 1.6725 (1.6874)	Prec@1 37.500 (31.810)	
Epoch: [4][250/449]	Time 0.351 (0.350)	Loss 1.6707 (1.6863)	Prec@1 28.125 (31.900)	
Epoch: [4][260/449]	Time 0.354 (0.350)	Loss 1.6884 (1.6851)	Prec@1 31.250 (31.899)	
Epoch: [4][270/449]	Time 0.347 (0.350)	Loss 1.6965 (1.6866)	Prec@1 29.688 (31.829)	
