
Randaugment!
Number of final features: 678
Number of model parameters: 2499301
Epoch: [2][410/449]	Time 0.444 (0.446)	Loss 1.7473 (1.7596)	Prec@1 23.438 (27.717)	
Epoch: [2][420/449]	Time 0.444 (0.446)	Loss 1.8392 (1.7597)	Prec@1 28.125 (27.675)	
Epoch: [2][430/449]	Time 0.451 (0.446)	Loss 1.7468 (1.7597)	Prec@1 35.938 (27.703)	
Epoch: [2][440/449]	Time 0.444 (0.446)	Loss 1.6827 (1.7596)	Prec@1 34.375 (27.727)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [2][113/113]	Time 0.034 (0.131)	Loss 1.7242 (1.7607)	Prec@1 20.000 (28.323)	
Best accuracy:  28.322652549456674
Epoch: [3][10/449]	Time 0.438 (0.450)	Loss 1.7177 (1.7145)	Prec@1 34.375 (28.906)	
Epoch: [3][20/449]	Time 0.448 (0.440)	Loss 1.7723 (1.7038)	Prec@1 26.562 (28.984)	
Epoch: [3][30/449]	Time 0.445 (0.442)	Loss 1.8404 (1.7186)	Prec@1 31.250 (28.802)	
Epoch: [3][40/449]	Time 0.433 (0.440)	Loss 1.6753 (1.7240)	Prec@1 35.938 (28.633)	
Epoch: [3][50/449]	Time 0.395 (0.438)	Loss 1.6160 (1.7272)	Prec@1 35.938 (28.906)	
Epoch: [3][60/449]	Time 0.446 (0.438)	Loss 1.5900 (1.7267)	Prec@1 32.812 (29.115)	
Epoch: [3][70/449]	Time 0.443 (0.439)	Loss 1.8135 (1.7308)	Prec@1 31.250 (29.040)	
Epoch: [3][80/449]	Time 0.451 (0.441)	Loss 1.8400 (1.7279)	Prec@1 25.000 (29.160)	
Epoch: [3][90/449]	Time 0.449 (0.442)	Loss 1.5831 (1.7302)	Prec@1 35.938 (29.201)	
Epoch: [3][100/449]	Time 0.448 (0.442)	Loss 1.6727 (1.7294)	Prec@1 28.125 (29.344)	
